driver,cloud_metric,n_obs,spearman_r,pearson_r
rh98,cloud_fraction,1216464,0.03680050411795419,0.032543071256300064
rh98,cloud_top_height,894831,-0.017339781540604293,-0.014011068904486609
rh98,cloud_optical_thickness,546455,0.022319095798722797,0.007812589084982178
rh98,cloud_water_path,546455,0.01691064555390964,0.008304732548513074
dem,cloud_fraction,1216464,0.016641235152925208,-0.005002534053466961
dem,cloud_top_height,894831,-0.00867045883853585,0.0019253637888706986
dem,cloud_optical_thickness,546455,0.03288089199897134,0.00014763966715329577
dem,cloud_water_path,546455,0.043659994987515695,-0.0007125866868425291
pass_local_hour,cloud_fraction,1216464,-0.009483468373919961,-0.012625971919467047
pass_local_hour,cloud_top_height,894831,0.03410608056196595,0.039891359444497
pass_local_hour,cloud_optical_thickness,546455,-0.06082245738531635,-0.08088015216054767
pass_local_hour,cloud_water_path,546455,-0.05543338703536061,-0.04713718637782281
