date,n_obs,mean_cloud_fraction,median_cloud_fraction,near_overcast_share,qc_pass_rate,cth_availability,mean_cth,cot_availability,mean_cot,mean_cwp,mean_cirrus_reflectance
2019-05-01,69414,0.553822464003032,0.63356894,0.31598812919583946,1.0,0.04454432823349756,3639.884152247736,0.02366957674244389,17.417235899634814,105.32683685179549,0.013263917092529769
2019-05-02,15176,0.6472359383052708,0.77032683,0.2809040590405904,0.30423036373220874,0.003953610964681075,1083.5726295,0.0009225092250922509,11.764218142857143,51.34878814285714,0.005625556242309148
2019-05-03,69398,0.9594839856586069,1.0,0.8200092221677858,1.0,0.9905328683823741,3565.9417245835816,0.8100665725237038,21.192530021472155,142.09404977670457,0.06785143834873343
2019-05-04,2927,1.0,1.0,1.0,0.0,1.0,6439.516150256235,0.0,,,0.20407119082336864
2019-05-05,68857,0.9395293424229926,0.99494725,0.7085263662372744,0.9639688049145331,0.9987365119014769,3398.127938541079,0.7429164790798322,17.75793627093637,133.9471674446486,0.08872181062292263
2019-05-07,55368,0.9467264630233528,1.0,0.8052665799739922,0.6702066175408178,0.9740644415546886,4193.236615092709,0.8144776766363242,17.793980846947623,125.2295064036012,0.06160805880470127
2019-05-08,70158,0.9814535190729624,1.0,0.9591921092391459,1.0,0.2150859488582913,9975.333903843604,0.07993386356509592,15.92001884092368,326.6254468858773,0.19252214978191368
2019-05-09,26834,0.900516226593128,0.948175175,0.4948200044719386,0.3969963479168219,0.9985838861146307,3714.816507438051,0.6319967205783708,12.289275362123355,128.71803837717434,0.06187758677578245
2019-05-10,69414,0.8821424234168119,0.99245543,0.6273230184112715,1.0,0.9569107096551128,3716.5186867326074,0.031002391448410983,23.55972402328067,172.91977974790893,0.047091268696129354
2019-05-11,7335,0.9999999309066121,1.0,1.0,0.010224948875255624,1.0,7856.028510511248,0.0,,,0.3180464656788003
2019-05-12,69130,0.6305986933107284,0.726338205,0.29159554462606685,1.0,0.7358021119629683,2695.2940018320683,0.3130044843049327,18.647919841054627,212.76578480378498,0.02675201243038721
2019-05-14,64044,0.8266310601916496,0.8743169,0.3319905065267629,0.8074917244394478,0.9630878770845044,2164.778017330015,0.4103741177940166,19.707423316886082,137.47596642844914,0.03832841018919726
2019-05-16,41206,0.9999476290049993,1.0,1.0,0.5299956317041208,1.0,5830.691233435179,0.9696403436392759,41.37714983698911,412.8963775020398,0.14310908849343465
2019-05-17,69414,0.8319686632122186,1.0,0.7168726769815887,1.0,0.8629959374189645,4485.645455989249,0.7009681044169764,17.778362405657973,134.819671186002,0.04876665867185671
2019-05-18,14912,0.2614679932852396,0.060075128500000005,0.0017435622317596568,0.306531652360515,0.28500536480686695,1065.7723478941177,0.0,,,0.005813609008683282
2019-05-19,69399,0.6580976680857803,0.75163984,0.2969639331978847,1.0,0.7385553105952536,5157.491376664716,0.30372195564777593,19.153476661457443,273.44992638929216,0.06873061326884489
2019-05-20,2841,0.9987430779831046,1.0,0.9890883491728265,0.0,1.0,7028.613799190426,0.0,,,0.1283425578970433
2019-05-21,68899,0.9818121861591605,1.0,0.914860883321964,0.9644697310556031,0.9987517961073455,5931.364291881186,0.8850055878895194,42.60956080448865,471.3616705698472,0.09223243951829982
2019-05-23,55047,0.6801754499645942,0.8994674,0.42469162715497666,0.6675931476738061,0.7146256835068214,5264.459663474757,0.4121387178229513,4.299570397625512,43.136332914038874,0.03384731408164841
2019-05-24,69486,0.7885878541800526,0.948630465,0.4980715539820971,1.0,0.07595774688426446,6492.727725382721,0.023170134991221253,7.706956203602485,79.6509855189441,0.056669082214641786
2019-05-25,27460,0.8992689786965012,1.0,0.7190094683175529,0.3819737800436999,0.832774945375091,5433.116886814763,0.0,,,0.10284010549736426
2019-05-26,69414,0.7235637067820695,0.87153971,0.41268332036764915,1.0,0.7857780851125133,6120.065915400495,0.35965367216987926,15.113154313510915,128.37384659492488,0.02953954702704828
2019-05-27,7170,0.9922590898284519,1.0,0.9610878661087866,0.0019525801952580196,0.9892608089260809,5791.70469619343,0.9156206415620641,18.958940758095963,165.42159640414317,0.039292675754295674
2019-05-28,69069,0.9711763161900419,1.0,0.9065427326296891,1.0,0.9891557717644675,6565.391121649883,0.8924408924408924,17.81802619483517,328.63264119485723,0.1460805687567538
2019-05-30,64092,0.6343365862333968,0.81525436,0.4566092492042689,0.8016445110154153,0.677292017724521,4445.983959495266,0.4923859452037696,20.822428572529628,203.61952397095823,0.03309661139091883
