date,clear,liquid,ice,undetermined
2019-05-01,0.44702797706514535,0.5447027977065145,0.0065116547094246115,0.0017575705189154926
2019-05-02,0.3827347611202636,0.6156177924217463,0.0008566721581548599,0.0007907742998352553
2019-05-03,0.037810887921842125,0.9308913801550477,0.023372431482175278,0.007925300440934898
2019-05-04,0.0034916201117318434,0.013966480446927373,0.9814944134078212,0.001047486033519553
2019-05-05,0.058323772455959454,0.8510826785947688,0.08060182697474476,0.009991721974526918
2019-05-07,0.04652506863170062,0.8772756827048115,0.05891489669122959,0.017284351972258343
2019-05-08,0.01907123920294193,0.08505088514495852,0.8761367199749137,0.01974115567718578
2019-05-09,0.08604755161362451,0.6890884698516807,0.21420585823954685,0.010658120295147946
2019-05-10,0.12422566052957616,0.8551012763995736,0.016351168352205608,0.004321894718644654
2019-05-11,0.0,0.08167740167191996,0.8955735233657668,0.02274907496231328
2019-05-12,0.37112686243309706,0.5492694922609577,0.06994069145088963,0.009662953855055691
2019-05-14,0.18613765536193866,0.8018393604396977,0.008384860408469178,0.0036381237898944476
2019-05-16,0.0010192690384895403,0.6453186429160802,0.3222831626462166,0.031378925399213706
2019-05-17,0.1665226035093785,0.6745037024231423,0.14949433831791858,0.009479355749560608
2019-05-18,0.7134522532188842,0.2845359442060086,0.001542381974248927,0.0004694206008583691
2019-05-19,0.3368204152797591,0.44174988112220637,0.20112681738929955,0.020302886208734997
2019-05-20,0.0,0.7272087293206617,0.22773671242520238,0.04505455825413587
2019-05-21,0.019884178289960665,0.6343633434447524,0.32448947009390555,0.021263008171381298
2019-05-23,0.3240156406292625,0.5224879512594344,0.1372919887241975,0.016204419387105574
2019-05-24,0.20935152404800966,0.41845839449673317,0.3564315113835881,0.015758570071669115
2019-05-25,0.1114227434982152,0.44055511036643114,0.4176804837182196,0.030341662417134114
2019-05-26,0.27435387673956263,0.5279194398824445,0.18213904975941453,0.015587633618578385
2019-05-27,0.0,0.7783821478382148,0.21352859135285915,0.008089260808926082
2019-05-28,0.025698938742417004,0.25559947299077734,0.6816661599270295,0.03703542833977617
2019-05-30,0.35325781688822316,0.5353710291456032,0.08008799850215316,0.03128315546402047
