state,n_obs,mean_cloud_fraction,median_cloud_fraction,near_overcast_share,qc_pass_rate,cth_availability,mean_cth,cot_availability,mean_cot,mean_cwp,mean_rh98,mean_dem,mean_pass_local_hour,mean_cirrus_reflectance,dominant_phase
Bayern,250195,0.8140228181160404,0.9961176,0.5911788804732309,0.8921041587561702,0.7502188293131358,4752.110855667312,0.4547492955494714,21.939908402397432,233.51158257398663,12.700221031296389,538.1198519619497,13.55030208870681,0.06563296297432558,liquid
Nordrhein-Westfalen,181539,0.9153431629721389,1.0,0.7276012316912619,0.8495144294063535,0.7996188146899564,4300.96796480894,0.5483835429301692,28.083357512087833,288.7595026901399,12.384237380581032,-543.7490732335862,13.622368028809236,0.07860423449176676,liquid
Sachsen,138075,0.7722670477110303,0.9887746,0.5689661415897157,0.8720550425493391,0.6863733478182147,5441.766546543563,0.3810682600036212,19.864277685520754,164.42392813992703,10.667827137250045,339.40561069412274,13.432520326865834,0.07191202088473633,liquid
Thüringen,128719,0.7882878749711798,0.9879131,0.5779721719404284,0.8772753051220099,0.71472742951701,5041.577362753834,0.44311251641171856,20.065754511163103,190.1248567758911,11.358888576039279,414.1984601161445,13.524422655668548,0.07818326380355269,liquid
Hessen,116315,0.8503225471158491,1.0,0.6558913295791601,0.8874607746206422,0.7651463697717406,4015.0264212775564,0.49922194042041007,24.242752838262525,216.8488375318167,14.104787531117225,357.4617445547006,13.59304397139664,0.05578009178986113,liquid
Baden-Württemberg,102389,0.8072636437965413,0.9898283,0.5912744533104142,0.8355682739356767,0.7393470001660335,4445.477461230764,0.44919864438562734,17.08978644263127,220.1831510452221,13.604674232662688,521.150758629052,13.62525677443866,0.08432431493224168,liquid
Sachsen-Anhalt,94679,0.763107405250486,0.94771963,0.49702679580477194,0.8676158387815672,0.7033766727574224,4803.302207473693,0.3634808141192873,17.899287579550183,219.25696884087,8.78161088382746,227.53361912425143,13.480502481173229,0.07477067164216798,liquid
Rheinland-Pfalz,83882,0.8064573473050778,0.9743909500000001,0.5401039555566153,0.8270189075129348,0.7154931928184831,3490.341901046537,0.4358503612217162,22.207223737687908,247.79633227181347,14.131343629918216,378.53914646539187,13.650412626868697,0.05992393768371313,liquid
Brandenburg,70011,0.7606209082541636,0.98996526,0.5873648426675808,0.8859893445315736,0.661410349802174,5973.691281312444,0.340017997171873,16.881157133640414,138.54390008636,11.257834837151306,139.15626870680322,13.40357938185428,0.07753723729058504,liquid
Niedersachsen,37024,0.8185400173489793,1.0,0.6372082973206569,0.8810501296456352,0.7568063958513397,4171.497565037474,0.4990546672428695,24.83334053297072,218.5847732529902,14.169792688121218,355.7841872971586,13.54615241659464,0.0632988404376005,liquid
Saarland,11945,0.8104411140372542,1.0,0.5782335705316032,0.7672666387609879,0.6946002511511092,3521.665502907075,0.4502302218501465,19.55717109159539,229.36458752101154,15.517461070891587,396.6045753746337,13.67749402176643,0.057972516701282895,liquid
Unknown,1691,0.8264835799163726,1.0,0.6510940272028386,0.8704908338261383,0.7474866942637493,5168.744761329114,0.4606741573033708,24.35093218983312,261.7444589724005,18.118158599704316,665.7730552318155,13.538931583678298,0.07254513070355596,liquid
